监测时间,SO2监测浓度(μg/m3),NO2监测浓度(μg/m3),PM10监测浓度(μg/m3),PM2.5监测浓度(μg/m3),O3监测浓度(μg/m3),CO监测浓度(mg/m3),温度(℃),湿度(%),气压(MBar),风速(m/s),风向(°),云量,长波辐射（W/m2）
2019-04-18 13:00:00,5.0,22.0,28.0,23.0,101.0,0.6,25.5,75.0,1006.9,2.4,100.9,0.0,437.664
2019-04-18 14:00:00,5.0,21.0,35.0,15.0,98.0,0.6,25.3,76.0,1005.9,2.6,98.6,0.0,444.691
2019-04-18 15:00:00,5.0,26.0,30.0,15.0,84.0,0.6,25.0,79.0,1005.1,1.8,93.2,0.0491951,450.233
2019-04-18 16:00:00,5.0,35.0,39.0,13.0,68.0,0.6,24.6,85.0,1004.6,1.6,102.3,0.20859,448.546
2019-04-18 17:00:00,4.0,38.0,36.0,21.0,57.0,0.6,24.3,90.0,1004.8,1.3,105.6,0.224974,461.05
2019-04-18 18:00:00,5.0,40.0,26.0,20.0,53.0,0.6,24.3,90.0,1005.2,1.9,118.9,0.487461,462.342
2019-04-18 19:00:00,6.0,53.0,24.0,14.0,36.0,0.6,24.3,90.0,1005.5,1.6,112.3,0.510862,465.956
2019-04-18 20:00:00,6.0,52.0,29.0,23.0,31.0,0.6,24.4,90.0,1006.2,2.2,114.4,0.390841,470.709
2019-04-18 21:00:00,8.0,65.0,28.0,18.0,14.0,0.6,24.4,89.0,1006.5,2.1,111.2,0.313267,467.386
2019-04-18 22:00:00,7.0,34.0,13.0,24.0,53.0,0.5,24.2,86.0,1007.0,2.3,115.7,0.256273,457.649
2019-04-18 23:00:00,5.0,15.0,9.0,11.0,78.0,0.5,24.0,84.0,1007.0,2.0,121.6,0.0809137,451.181
2019-04-19 00:00:00,5.0,13.0,9.0,11.0,85.0,0.5,24.1,82.0,1006.3,1.9,122.4,0.0,420.545
2019-04-19 01:00:00,5.0,15.0,10.0,9.0,75.0,0.5,24.0,82.0,1005.8,1.3,95.2,0.0,419.885
2019-04-19 02:00:00,4.0,16.0,12.0,9.0,69.0,0.4,23.8,82.0,1004.8,1.6,112.6,0.0121968,419.502
2019-04-19 03:00:00,4.0,19.0,15.0,10.0,59.0,0.5,23.6,84.0,1004.0,0.8,85.0,0.0138869,420.317
2019-04-19 04:00:00,7.0,38.0,22.0,9.0,36.0,0.5,23.6,86.0,1004.7,1.0,47.5,0.133333,422.71
2019-04-19 05:00:00,7.0,57.0,27.0,11.0,10.0,0.5,23.5,88.0,1004.9,1.0,24.5,0.564867,424.919
2019-04-19 06:00:00,6.0,71.0,30.0,18.0,2.0,0.6,23.4,88.0,1004.7,1.6,70.0,0.508824,426.063
2019-04-19 07:00:00,4.0,62.0,26.0,17.0,19.0,0.6,23.4,84.0,1004.9,1.8,66.9,0.751488,428.174
2019-04-19 08:00:00,6.0,58.0,19.0,14.0,23.0,0.7,24.3,83.0,1005.3,2.0,96.6,0.839191,431.54
2019-04-19 09:00:00,7.0,59.0,40.0,13.0,6.0,0.7,25.1,86.0,1005.7,1.4,78.8,0.839191,431.54
2019-04-19 10:00:00,7.0,59.0,55.0,23.0,2.0,0.8,25.3,88.0,1006.1,1.3,61.9,0.626672,435.195
2019-04-19 11:00:00,5.0,63.0,55.0,29.0,18.0,0.7,23.6,89.0,1006.5,2.6,59.1,0.223225,438.474
2019-04-19 12:00:00,5.0,35.0,4.0,19.0,86.0,0.5,21.7,89.0,1006.0,2.8,54.2,0.0,442.158
2019-04-19 13:00:00,4.0,35.0,14.0,4.0,92.0,0.4,21.3,92.0,1005.4,2.6,68.5,0.0,444.676
2019-04-19 14:00:00,4.0,53.0,8.0,4.0,73.0,0.5,21.4,92.0,1004.9,1.9,73.0,0.0,445.422
2019-04-19 15:00:00,4.0,55.0,19.0,5.0,72.0,0.5,21.5,92.0,1004.3,2.4,63.7,0.34,485.37
2019-04-19 16:00:00,4.0,63.0,15.0,10.0,64.0,0.5,21.4,92.0,1004.0,2.0,77.2,1.0,487.882
2019-04-19 17:00:00,5.0,64.0,15.0,10.0,61.0,0.6,21.6,91.0,1003.8,1.4,104.1,0.903524,490.247
2019-04-19 18:00:00,4.0,58.0,21.0,14.0,60.0,0.6,21.8,90.0,1004.2,2.2,114.8,0.974729,491.217
2019-04-19 19:00:00,4.0,51.0,26.0,16.0,57.0,0.5,21.7,91.0,1005.0,2.4,101.3,0.249629,456.362
2019-04-19 20:00:00,4.0,53.0,23.0,22.0,49.0,0.5,21.9,90.0,1005.5,2.1,97.4,0.167429,446.199
2019-04-19 21:00:00,4.0,63.0,20.0,25.0,33.0,0.5,22.1,90.0,1006.0,1.4,99.0,0.0473816,440.75
2019-04-19 22:00:00,4.0,69.0,28.0,25.0,23.0,0.6,22.3,90.0,1006.3,1.1,95.1,0.0478682,436.72
2019-04-19 23:00:00,5.0,78.0,34.0,32.0,11.0,0.6,22.5,88.0,1006.5,1.0,74.8,0.0431207,433.266
2019-04-20 00:00:00,5.0,78.0,33.0,31.0,3.0,0.7,22.5,90.0,1006.9,0.6,337.8,0.0734417,431.124
2019-04-20 01:00:00,4.0,75.0,48.0,35.0,1.0,0.7,22.3,90.0,1006.5,0.6,33.7,0.103564,427.409
2019-04-20 02:00:00,5.0,78.0,52.0,38.0,1.0,0.8,22.1,91.0,1005.4,1.0,77.8,0.126546,421.227
2019-04-20 03:00:00,6.0,79.0,50.0,42.0,0.0,0.9,22.0,92.0,1004.7,1.0,72.3,0.0660286,422.5
2019-04-20 04:00:00,6.0,75.0,50.0,48.0,0.0,0.8,22.0,92.0,1004.7,0.9,56.1,0.0540967,423.147
2019-04-20 05:00:00,6.0,73.0,43.0,44.0,0.0,0.8,22.0,92.0,1004.6,0.8,47.1,0.0,421.531
2019-04-20 06:00:00,6.0,72.0,47.0,46.0,0.0,0.9,22.1,92.0,1005.4,0.8,26.7,0.0,420.5
2019-04-20 07:00:00,6.0,69.0,50.0,48.0,4.0,0.9,22.4,91.0,1005.7,1.2,60.7,0.093755,417.164
2019-04-20 08:00:00,7.0,68.0,39.0,39.0,12.0,0.8,23.4,86.0,1004.9,1.7,87.3,0.0371518,420.076
2019-04-20 09:00:00,9.0,61.0,38.0,35.0,14.0,0.6,24.5,84.0,1005.0,1.5,100.7,0.0582637,419.916
2019-04-20 10:00:00,11.0,69.0,38.0,21.0,3.0,0.7,24.5,87.0,1005.1,1.2,74.7,0.0582637,419.916
2019-04-20 11:00:00,10.0,70.0,43.0,31.0,1.0,0.8,24.5,88.0,1005.3,1.6,324.2,0.0,425.039
2019-04-20 12:00:00,4.0,51.0,26.0,27.0,36.0,0.7,22.2,92.0,1005.3,1.5,324.6,0.0,432.113
2019-04-20 13:00:00,3.0,61.0,5.0,6.0,28.0,0.7,22.1,94.0,1005.0,1.1,102.8,0.0,439.446
2019-04-20 14:00:00,3.0,73.0,10.0,6.0,22.0,0.7,22.5,94.0,1003.9,1.0,144.1,0.0,442.219
2019-04-20 15:00:00,4.0,64.0,23.0,8.0,38.0,0.8,23.2,90.0,1003.0,1.4,104.9,0.0,445.619
2019-04-20 16:00:00,6.0,54.0,63.0,16.0,52.0,0.7,25.0,80.0,1002.9,0.8,263.8,0.0,447.356
2019-04-20 17:00:00,5.0,68.0,37.0,16.0,36.0,0.7,24.2,84.0,1003.5,1.3,93.3,0.0,449.102
2019-04-20 18:00:00,5.0,77.0,22.0,19.0,17.0,0.7,23.6,89.0,1004.3,1.1,94.2,0.013855,458.199
2019-04-20 19:00:00,4.0,66.0,23.0,17.0,29.0,0.7,23.2,90.0,1004.5,1.4,111.4,0.0277426,463.219
2019-04-20 20:00:00,6.0,57.0,13.0,9.0,32.0,0.7,23.2,89.0,1005.0,1.1,109.7,0.620517,477.166
2019-04-20 21:00:00,7.0,77.0,22.0,10.0,8.0,0.7,23.0,90.0,1005.7,0.8,53.6,0.300273,464.024
2019-04-20 22:00:00,6.0,71.0,21.0,17.0,12.0,0.7,23.1,90.0,1006.1,0.8,101.9,0.293238,456.453
2019-04-20 23:00:00,5.0,57.0,24.0,21.0,16.0,0.7,23.2,90.0,1006.4,0.4,319.6,0.333629,449.679
2019-04-21 00:00:00,4.0,63.0,24.0,20.0,4.0,0.7,23.1,92.0,1006.1,0.5,74.6,0.337393,450.907
2019-04-21 01:00:00,4.0,69.0,21.0,21.0,0.0,0.8,22.9,93.0,1005.6,0.6,40.8,0.531914,441.451
2019-04-21 02:00:00,4.0,67.0,32.0,24.0,0.0,0.7,22.8,93.0,1004.9,0.6,36.5,0.489758,437.797
2019-04-21 03:00:00,4.0,74.0,25.0,21.0,0.0,0.7,22.8,94.0,1004.4,0.8,52.5,0.337746,435.628
2019-04-21 04:00:00,4.0,75.0,30.0,19.0,0.0,0.8,22.8,94.0,1004.5,0.8,48.5,0.294499,430.917
2019-04-21 05:00:00,5.0,66.0,45.0,27.0,0.0,1.0,22.8,94.0,1004.9,0.9,61.0,0.191731,427.105
2019-04-21 06:00:00,6.0,61.0,52.0,38.0,0.0,1.0,22.9,94.0,1005.5,0.9,70.1,0.086148,427.654
2019-04-21 07:00:00,6.0,61.0,52.0,47.0,1.0,1.1,23.2,93.0,1006.2,0.9,32.8,0.14921,429.708
2019-04-21 08:00:00,6.0,67.0,51.0,46.0,3.0,1.1,24.0,90.0,1006.5,0.9,73.7,0.915457,427.397
2019-04-21 09:00:00,10.0,74.0,50.0,47.0,11.0,0.9,25.4,86.0,1006.7,1.3,112.0,0.34,451.623
2019-04-21 10:00:00,6.0,68.0,57.0,41.0,15.0,0.8,27.0,82.0,1006.8,0.6,132.8,0.0734068,426.508
2019-04-21 11:00:00,5.0,56.0,50.0,39.0,20.0,0.7,27.8,81.0,1006.5,0.9,218.6,0.0734068,426.508
2019-04-21 12:00:00,4.0,54.0,63.0,32.0,7.0,0.7,27.2,86.0,1005.9,1.0,74.7,0.0860052,432.74
2019-04-21 13:00:00,4.0,46.0,76.0,22.0,10.0,0.6,27.1,88.0,1005.4,0.9,86.7,0.104456,434.028
2019-04-21 14:00:00,8.0,33.0,32.0,24.0,29.0,0.6,28.8,80.0,1004.8,1.2,233.9,0.185828,435.921
2019-04-21 15:00:00,6.0,20.0,32.0,22.0,42.0,0.5,29.0,78.0,1004.1,2.2,237.6,0.275832,439.913
2019-04-21 16:00:00,4.0,24.0,41.0,13.0,31.0,0.5,28.0,84.0,1003.5,2.0,241.9,0.251928,440.768
2019-04-21 17:00:00,3.0,13.0,34.0,17.0,90.0,0.5,24.6,89.0,1004.2,1.5,304.7,0.255619,445.33
2019-04-21 18:00:00,2.0,38.0,20.0,20.0,50.0,0.7,24.8,90.0,1004.4,0.4,30.7,0.176592,451.183
2019-04-21 19:00:00,2.0,63.0,41.0,21.0,6.0,0.7,25.6,92.0,1005.0,0.6,29.9,0.184097,453.373
2019-04-21 20:00:00,2.0,37.0,64.0,24.0,8.0,0.6,26.5,91.0,1005.6,0.9,82.9,0.189642,451.659
2019-04-21 21:00:00,3.0,54.0,28.0,17.0,0.0,0.7,25.6,92.0,1006.3,0.8,59.9,0.181707,445.523
2019-04-21 22:00:00,3.0,52.0,31.0,18.0,0.0,0.7,25.4,94.0,1007.3,0.8,20.4,0.121919,437.998
2019-04-21 23:00:00,2.0,45.0,33.0,22.0,0.0,0.5,25.3,94.0,1007.5,0.7,36.7,0.171225,434.966
2019-04-22 00:00:00,1.0,44.0,17.0,22.0,0.0,0.6,25.2,95.0,1006.9,0.6,72.7,0.0977173,432.925
2019-04-22 01:00:00,2.0,41.0,29.0,18.0,0.0,0.6,25.2,95.0,1006.4,0.7,72.3,0.107876,433.034
2019-04-22 02:00:00,3.0,40.0,32.0,22.0,0.0,0.5,25.1,95.0,1005.8,0.5,86.8,0.0411358,428.977
2019-04-22 03:00:00,4.0,39.0,30.0,14.0,0.0,0.5,25.1,95.0,1005.4,0.4,62.2,0.092427,429.196
2019-04-22 04:00:00,5.0,39.0,30.0,22.0,0.0,0.5,25.2,95.0,1005.3,0.8,81.3,0.128056,430.162
2019-04-22 05:00:00,5.0,38.0,40.0,20.0,0.0,0.5,25.4,94.0,1005.5,0.8,298.1,0.159443,429.145
2019-04-22 06:00:00,4.0,31.0,28.0,21.0,4.0,0.5,25.6,94.0,1005.9,0.7,47.0,0.0960511,427.562
2019-04-22 07:00:00,3.0,24.0,28.0,17.0,13.0,0.6,26.3,91.0,1006.4,1.0,287.7,0.0411316,428.417
2019-04-22 08:00:00,4.0,22.0,23.0,13.0,23.0,0.7,27.6,82.0,1006.8,1.7,249.1,0.0,429.929
2019-04-22 09:00:00,10.0,22.0,24.0,17.0,35.0,0.6,28.3,77.0,1007.4,2.9,225.7,0.0,429.929
2019-04-22 10:00:00,13.0,24.0,35.0,14.0,48.0,0.6,29.1,73.0,1007.7,2.0,231.1,0.0,436.756
2019-04-22 11:00:00,8.0,21.0,40.0,20.0,57.0,0.6,29.2,72.0,1007.8,2.8,234.8,0.0,439.149
2019-04-22 12:00:00,4.0,15.0,29.0,11.0,84.0,0.5,29.9,68.0,1007.3,2.5,241.5,0.0,442.704
2019-04-22 13:00:00,3.0,13.0,40.0,20.0,86.0,0.5,30.1,68.0,1006.4,2.1,243.7,0.0,449.165
2019-04-22 14:00:00,3.0,17.0,29.0,15.0,69.0,0.5,30.0,68.0,1005.5,2.1,231.6,0.0,448.459
2019-04-22 15:00:00,3.0,18.0,29.0,17.0,67.0,0.5,30.2,68.0,1005.3,1.8,239.5,0.022933,455.861
2019-04-22 16:00:00,1.0,23.0,30.0,14.0,56.0,0.5,30.2,67.0,1005.5,1.8,249.4,0.0,449.959
2019-04-22 17:00:00,1.0,23.0,31.0,12.0,47.0,0.5,29.6,69.0,1006.0,1.4,72.2,0.0,453.835
2019-04-22 18:00:00,2.0,40.0,39.0,17.0,40.0,0.6,27.2,76.0,1006.8,2.2,66.5,0.0555314,456.621
2019-04-22 19:00:00,2.0,66.0,37.0,11.0,16.0,0.7,25.9,82.0,1007.2,1.2,44.3,0.157206,463.133
2019-04-22 20:00:00,2.0,52.0,44.0,11.0,5.0,0.6,26.9,83.0,1007.5,1.0,80.9,0.0967288,455.374
2019-04-22 21:00:00,0.0,38.0,44.0,17.0,3.0,0.5,26.9,85.0,1008.2,0.7,45.7,0.0566227,453.446
2019-04-22 22:00:00,1.0,41.0,32.0,16.0,0.0,0.6,26.5,87.0,1008.8,0.5,34.3,0.0415138,451.168
2019-04-22 23:00:00,0.0,28.0,23.0,14.0,9.0,0.5,26.6,83.0,1008.8,1.0,272.6,0.125348,448.333
2019-04-23 00:00:00,0.0,30.0,17.0,12.0,4.0,0.5,26.5,84.0,1008.4,0.8,310.9,0.376123,448.693
2019-04-23 01:00:00,1.0,39.0,26.0,9.0,4.0,0.5,25.9,87.0,1007.8,0.5,33.5,0.295057,445.572
2019-04-23 02:00:00,0.0,33.0,40.0,17.0,4.0,0.5,25.6,90.0,1007.7,0.4,61.3,0.297007,442.055
2019-04-23 03:00:00,0.0,32.0,35.0,17.0,4.0,0.5,25.2,92.0,1007.4,0.5,69.4,0.423002,440.072
2019-04-23 04:00:00,3.0,35.0,35.0,16.0,4.0,0.5,25.0,94.0,1007.8,0.7,32.4,0.502272,435.337
2019-04-23 05:00:00,5.0,34.0,39.0,22.0,4.0,0.6,24.9,95.0,1008.4,0.7,28.2,0.427335,433.479
2019-04-23 06:00:00,1.0,33.0,35.0,25.0,0.0,0.6,24.8,95.0,1008.7,0.8,37.2,0.47832,427.997
2019-04-23 07:00:00,3.0,40.0,55.0,15.0,1.0,0.8,25.4,94.0,1008.9,0.7,64.1,0.331834,427.97
2019-04-23 08:00:00,6.0,36.0,36.0,37.0,10.0,0.8,27.7,81.0,1009.2,1.2,76.4,0.34,429.171
2019-04-23 09:00:00,6.0,27.0,35.0,28.0,31.0,0.6,29.0,72.0,1009.5,1.6,220.4,0.34,462.98
2019-04-23 10:00:00,8.0,24.0,36.0,18.0,48.0,0.5,30.4,66.0,1009.7,1.6,237.3,0.34,462.98
2019-04-23 11:00:00,9.0,17.0,34.0,17.0,67.0,0.4,31.1,62.0,1009.4,2.0,236.1,0.34,467.21
2019-04-23 12:00:00,7.0,16.0,31.0,14.0,76.0,0.4,31.6,60.0,1008.5,2.0,246.4,0.197175,443.828
2019-04-23 13:00:00,7.0,14.0,28.0,10.0,79.0,0.4,31.9,59.0,1007.6,1.6,239.0,0.202433,452.892
2019-04-23 14:00:00,5.0,14.0,26.0,13.0,79.0,0.4,32.2,59.0,1007.0,2.0,235.6,0.184343,457.53
2019-04-23 15:00:00,5.0,14.0,26.0,12.0,73.0,0.4,32.4,58.0,1006.5,1.9,239.3,0.259232,457.814
2019-04-23 16:00:00,4.0,14.0,26.0,10.0,64.0,0.6,31.9,60.0,1006.1,2.1,226.5,0.34,458.077
2019-04-23 17:00:00,4.0,20.0,26.0,16.0,51.0,0.6,31.4,62.0,1006.1,2.0,233.0,0.17834,459.343
2019-04-23 18:00:00,5.0,24.0,44.0,14.0,34.0,0.6,30.5,65.0,1006.6,1.3,278.0,1.0,462.166
2019-04-23 19:00:00,4.0,26.0,36.0,16.0,26.0,0.6,29.4,70.0,1006.9,1.6,256.6,0.161081,463.491
2019-04-23 20:00:00,11.0,30.0,37.0,15.0,16.0,0.6,28.7,74.0,1007.3,2.0,239.0,0.154091,459.455
2019-04-23 21:00:00,14.0,29.0,37.0,15.0,15.0,0.6,28.2,77.0,1007.9,2.0,247.2,0.170139,453.93
2019-04-23 22:00:00,13.0,27.0,49.0,16.0,15.0,0.6,27.7,80.0,1008.4,1.6,239.6,0.134942,446.752
2019-04-23 23:00:00,12.0,26.0,33.0,22.0,15.0,0.6,27.3,81.0,1008.3,1.2,270.4,0.0721081,444.726
2019-04-24 00:00:00,8.0,24.0,36.0,20.0,15.0,0.6,26.9,83.0,1008.0,0.9,275.5,0.108066,432.727
2019-04-24 01:00:00,6.0,24.0,36.0,15.0,15.0,0.6,26.9,82.0,1007.5,1.3,235.1,0.416315,440.038
2019-04-24 02:00:00,4.0,27.0,29.0,14.0,11.0,0.6,26.8,83.0,1007.0,1.6,236.7,0.531227,432.946
2019-04-24 03:00:00,6.0,24.0,29.0,15.0,12.0,0.5,26.4,85.0,1006.3,0.9,353.3,0.734814,431.934
2019-04-24 04:00:00,4.0,22.0,24.0,13.0,14.0,0.5,26.3,86.0,1006.3,1.2,285.1,0.253137,432.766
2019-04-24 05:00:00,6.0,22.0,28.0,14.0,15.0,0.5,26.4,84.0,1006.8,1.6,237.5,0.857578,432.14
2019-04-24 06:00:00,6.0,24.0,25.0,14.0,13.0,0.6,26.4,84.0,1007.5,1.3,233.6,0.208513,429.121
2019-04-24 07:00:00,4.0,22.0,22.0,19.0,19.0,0.6,27.0,81.0,1008.4,1.6,224.7,0.195896,429.914
2019-04-24 08:00:00,11.0,24.0,26.0,18.0,21.0,0.6,28.0,76.0,1009.4,1.5,232.7,0.220244,426.234
2019-04-24 09:00:00,4.0,17.0,28.0,14.0,36.0,0.5,28.8,71.0,1009.9,1.3,249.3,0.159198,421.511
2019-04-24 10:00:00,3.0,14.0,26.0,13.0,53.0,0.5,30.2,64.0,1009.7,1.5,249.3,0.166607,422.414
2019-04-24 11:00:00,7.0,21.0,42.0,13.0,81.0,0.6,31.0,61.0,1009.2,1.1,236.9,0.166607,422.414
