监测时间,SO2监测浓度(μg/m³),NO2监测浓度(μg/m³),PM10监测浓度(μg/m³),PM2.5监测浓度(μg/m³),O3监测浓度(μg/m³),CO监测浓度(mg/m³),温度(℃),湿度(%),气压(MBar),风速(m/s),风向(°),云量,长波辐射（W/m²）
2019-4-17 16:00,14,52,97,70,266,1,27.5,62,1008,1.1,232.5,0,446.603
2019-4-17 17:00,9,60,118,81,245,1,27,65,1008,1.1,254.4,0,454.995
2019-4-17 18:00,13,54,166,85,173,1,26.4,69,1008.1,1,239.6,0,460.11
2019-4-17 19:00,10,62,73,72,119,1.1,26.1,71,1008.7,1.4,232,0.152441,460.461
2019-4-17 20:00,11,52,68,72,91,1,25.7,74,1009.2,1,272.4,1,489.974
2019-4-17 21:00,10,46,59,54,74,0.8,25,76,1009.6,0.9,34.6,0.406075,452.086
2019-4-17 22:00,8,37,37,39,68,0.7,24.7,76,1009.8,0.9,339.6,0.237834,445.488
2019-4-17 23:00,9,56,38,26,38,0.8,24.5,77,1009.8,0.8,52.7,0.251663,437.459
2019-4-18 0:00,9,56,53,29,30,0.8,23.9,82,1009.5,0.8,63.5,0.201548,432.856
2019-4-18 1:00,8,45,59,43,31,0.8,23.7,84,1009.1,0.7,113,0.292472,430.411
2019-4-18 2:00,8,45,46,42,35,0.7,23.6,84,1008.2,1,104.1,0.262253,426.626
2019-4-18 3:00,7,22,23,39,75,0.6,23.4,82,1007.7,1.2,90.1,0.268438,425.367
2019-4-18 4:00,7,22,22,24,73,0.6,23.4,82,1007.8,1.4,96.5,0.0661945,423.098
2019-4-18 5:00,6,31,24,26,55,0.6,23.4,82,1007.9,1.3,116.3,0.0469358,429.035
2019-4-18 6:00,7,36,26,30,51,0.7,23.4,82,1008.5,1.5,119.1,0.246585,430.695
2019-4-18 7:00,7,40,26,37,56,0.7,23.7,81,1008.6,1.8,118.9,0.304199,430.005
2019-4-18 8:00,6,35,25,32,69,0.7,24.1,79,1008.8,1.8,110.9,0.128132,429.937
2019-4-18 9:00,7,38,31,26,69,0.7,24.4,79,1009.1,1.8,122.1,0.0789775,426.972
2019-4-18 10:00,6,41,37,27,70,0.7,24.8,78,1009.2,1.5,115.3,0.0559358,428.522
2019-4-18 11:00,6,39,39,24,81,0.7,24.8,78,1008.9,1.9,115,0.0559358,428.522
2019-4-18 12:00,6,32,36,26,94,0.6,25.1,76,1008.1,2.3,121.7,0.0651633,431.182
2019-4-18 13:00,5,22,28,23,101,0.6,25.5,75,1006.9,2.4,100.9,0,437.664
2019-4-18 14:00,5,21,35,15,98,0.6,25.3,76,1005.9,2.6,98.6,0,444.691
2019-4-18 15:00,5,26,30,15,84,0.6,25,79,1005.1,1.8,93.2,0.0491951,450.233
2019-4-18 16:00,5,35,39,13,68,0.6,24.6,85,1004.6,1.6,102.3,0.20859,448.546
2019-4-18 17:00,4,38,36,21,57,0.6,24.3,90,1004.8,1.3,105.6,0.224974,461.05
2019-4-18 18:00,5,40,26,20,53,0.6,24.3,90,1005.2,1.9,118.9,0.487461,462.342
2019-4-18 19:00,6,53,24,14,36,0.6,24.3,90,1005.5,1.6,112.3,0.510862,465.956
2019-4-18 20:00,6,52,29,23,31,0.6,24.4,90,1006.2,2.2,114.4,0.390841,470.709
2019-4-18 21:00,8,65,28,18,14,0.6,24.4,89,1006.5,2.1,111.2,0.313267,467.386
2019-4-18 22:00,7,34,13,24,53,0.5,24.2,86,1007,2.3,115.7,0.256273,457.649
2019-4-18 23:00,5,15,9,11,78,0.5,24,84,1007,2,121.6,0.0809137,451.181
2019-4-19 0:00,5,13,9,11,85,0.5,24.1,82,1006.3,1.9,122.4,0,420.545
2019-4-19 1:00,5,15,10,9,75,0.5,24,82,1005.8,1.3,95.2,0,419.885
2019-4-19 2:00,4,16,12,9,69,0.4,23.8,82,1004.8,1.6,112.6,0.0121968,419.502
2019-4-19 3:00,4,19,15,10,59,0.5,23.6,84,1004,0.8,85,0.0138869,420.317
2019-4-19 4:00,7,38,22,9,36,0.5,23.6,86,1004.7,1,47.5,0.133333,422.71
2019-4-19 5:00,7,57,27,11,10,0.5,23.5,88,1004.9,1,24.5,0.564867,424.919
2019-4-19 6:00,6,71,30,18,2,0.6,23.4,88,1004.7,1.6,70,0.508824,426.063
2019-4-19 7:00,4,62,26,17,19,0.6,23.4,84,1004.9,1.8,66.9,0.751488,428.174
2019-4-19 8:00,6,58,19,14,23,0.7,24.3,83,1005.3,2,96.6,0.839191,431.54
2019-4-19 9:00,7,59,40,13,6,0.7,25.1,86,1005.7,1.4,78.8,0.839191,431.54
2019-4-19 10:00,7,59,55,23,2,0.8,25.3,88,1006.1,1.3,61.9,0.626672,435.195
2019-4-19 11:00,5,63,55,29,18,0.7,23.6,89,1006.5,2.6,59.1,0.223225,438.474
2019-4-19 12:00,5,35,4,19,86,0.5,21.7,89,1006,2.8,54.2,0,442.158
2019-4-19 13:00,4,35,14,4,92,0.4,21.3,92,1005.4,2.6,68.5,0,444.676
2019-4-19 14:00,4,53,8,4,73,0.5,21.4,92,1004.9,1.9,73,0,445.422
2019-4-19 15:00,4,55,19,5,72,0.5,21.5,92,1004.3,2.4,63.7,0.34,485.37
2019-4-19 16:00,4,63,15,10,64,0.5,21.4,92,1004,2,77.2,1,487.882
2019-4-19 17:00,5,64,15,10,61,0.6,21.6,91,1003.8,1.4,104.1,0.903524,490.247
2019-4-19 18:00,4,58,21,14,60,0.6,21.8,90,1004.2,2.2,114.8,0.974729,491.217
2019-4-19 19:00,4,51,26,16,57,0.5,21.7,91,1005,2.4,101.3,0.249629,456.362
2019-4-19 20:00,4,53,23,22,49,0.5,21.9,90,1005.5,2.1,97.4,0.167429,446.199
2019-4-19 21:00,4,63,20,25,33,0.5,22.1,90,1006,1.4,99,0.0473816,440.75
2019-4-19 22:00,4,69,28,25,23,0.6,22.3,90,1006.3,1.1,95.1,0.0478682,436.72
2019-4-19 23:00,5,78,34,32,11,0.6,22.5,88,1006.5,1,74.8,0.0431207,433.266
2019-4-20 0:00,5,78,33,31,3,0.7,22.5,90,1006.9,0.6,337.8,0.0734417,431.124
2019-4-20 1:00,4,75,48,35,1,0.7,22.3,90,1006.5,0.6,33.7,0.103564,427.409
2019-4-20 2:00,5,78,52,38,-1,0.8,22.1,91,1005.4,1,77.8,0.126546,421.227
2019-4-20 3:00,6,79,50,42,0,0.9,22,92,1004.7,1,72.3,0.0660286,422.5
2019-4-20 4:00,6,75,50,48,0,0.8,22,92,1004.7,0.9,56.1,0.0540967,423.147
2019-4-20 5:00,6,73,43,44,0,0.8,22,92,1004.6,0.8,47.1,0,421.531
2019-4-20 6:00,6,72,47,46,0,0.9,22.1,92,1005.4,0.8,26.7,0,420.5
2019-4-20 7:00,6,69,50,48,4,0.9,22.4,91,1005.7,1.2,60.7,0.093755,417.164
2019-4-20 8:00,7,68,39,39,12,0.8,23.4,86,1004.9,1.7,87.3,0.0371518,420.076
2019-4-20 9:00,9,61,38,35,14,0.6,24.5,84,1005,1.5,100.7,0.0582637,419.916
2019-4-20 10:00,11,69,38,21,3,0.7,24.5,87,1005.1,1.2,74.7,0.0582637,419.916
2019-4-20 11:00,10,70,43,31,1,0.8,24.5,88,1005.3,1.6,324.2,0,425.039
2019-4-20 12:00,4,51,26,27,36,0.7,22.2,92,1005.3,1.5,324.6,0,432.113
2019-4-20 13:00,3,61,5,6,28,0.7,22.1,94,1005,1.1,102.8,0,439.446
2019-4-20 14:00,3,73,10,6,22,0.7,22.5,94,1003.9,1,144.1,0,442.219
2019-4-20 15:00,4,64,23,8,38,0.8,23.2,90,1003,1.4,104.9,0,445.619
2019-4-20 16:00,6,54,63,16,52,0.7,25,80,1002.9,0.8,263.8,0,447.356
2019-4-20 17:00,5,68,37,16,36,0.7,24.2,84,1003.5,1.3,93.3,0,449.102
2019-4-20 18:00,5,77,22,19,17,0.7,23.6,89,1004.3,1.1,94.2,0.013855,458.199
2019-4-20 19:00,4,66,23,17,29,0.7,23.2,90,1004.5,1.4,111.4,0.0277426,463.219
2019-4-20 20:00,6,57,13,9,32,0.7,23.2,89,1005,1.1,109.7,0.620517,477.166
2019-4-20 21:00,7,77,22,10,8,0.7,23,90,1005.7,0.8,53.6,0.300273,464.024
2019-4-20 22:00,6,71,21,17,12,0.7,23.1,90,1006.1,0.8,101.9,0.293238,456.453
2019-4-20 23:00,5,57,24,21,16,0.7,23.2,90,1006.4,0.4,319.6,0.333629,449.679
2019-4-21 0:00,4,63,24,20,4,0.7,23.1,92,1006.1,0.5,74.6,0.337393,450.907
2019-4-21 1:00,4,69,21,21,0,0.8,22.9,93,1005.6,0.6,40.8,0.531914,441.451
2019-4-21 2:00,4,67,32,24,-1,0.7,22.8,93,1004.9,0.6,36.5,0.489758,437.797
2019-4-21 3:00,4,74,25,21,-1,0.7,22.8,94,1004.4,0.8,52.5,0.337746,435.628
2019-4-21 4:00,4,75,30,19,0,0.8,22.8,94,1004.5,0.8,48.5,0.294499,430.917
2019-4-21 5:00,5,66,45,27,0,1,22.8,94,1004.9,0.9,61,0.191731,427.105
2019-4-21 6:00,6,61,52,38,0,1,22.9,94,1005.5,0.9,70.1,0.086148,427.654
2019-4-21 7:00,6,61,52,47,1,1.1,23.2,93,1006.2,0.9,32.8,0.14921,429.708
2019-4-21 8:00,6,67,51,46,3,1.1,24,90,1006.5,0.9,73.7,0.915457,427.397
2019-4-21 9:00,10,74,50,47,11,0.9,25.4,86,1006.7,1.3,112,0.34,451.623
2019-4-21 10:00,6,68,57,41,15,0.8,27,82,1006.8,0.6,132.8,0.0734068,426.508
2019-4-21 11:00,5,56,50,39,20,0.7,27.8,81,1006.5,0.9,218.6,0.0734068,426.508
2019-4-21 12:00,4,54,63,32,7,0.7,27.2,86,1005.9,1,74.7,0.0860052,432.74
2019-4-21 13:00,4,46,76,22,10,0.6,27.1,88,1005.4,0.9,86.7,0.104456,434.028
2019-4-21 14:00,8,33,32,24,29,0.6,28.8,80,1004.8,1.2,233.9,0.185828,435.921
2019-4-21 15:00,6,20,32,22,42,0.5,29,78,1004.1,2.2,237.6,0.275832,439.913
2019-4-21 16:00,4,24,41,13,31,0.5,28,84,1003.5,2,241.9,0.251928,440.768
2019-4-21 17:00,3,13,34,17,90,0.5,24.6,89,1004.2,1.5,304.7,0.255619,445.33
2019-4-21 18:00,2,38,20,20,50,0.7,24.8,90,1004.4,0.4,30.7,0.176592,451.183
2019-4-21 19:00,2,63,41,21,6,0.7,25.6,92,1005,0.6,29.9,0.184097,453.373
2019-4-21 20:00,2,37,64,24,8,0.6,26.5,91,1005.6,0.9,82.9,0.189642,451.659
2019-4-21 21:00,3,54,28,17,0,0.7,25.6,92,1006.3,0.8,59.9,0.181707,445.523
2019-4-21 22:00,3,52,31,18,-1,0.7,25.4,94,1007.3,0.8,20.4,0.121919,437.998
2019-4-21 23:00,2,45,33,22,-1,0.5,25.3,94,1007.5,0.7,36.7,0.171225,434.966
2019-4-22 0:00,1,44,17,22,-1,0.6,25.2,95,1006.9,0.6,72.7,0.0977173,432.925
2019-4-22 1:00,2,41,29,18,-1,0.6,25.2,95,1006.4,0.7,72.3,0.107876,433.034
2019-4-22 2:00,3,40,32,22,-1,0.5,25.1,95,1005.8,0.5,86.8,0.0411358,428.977
2019-4-22 3:00,4,39,30,14,-1,0.5,25.1,95,1005.4,0.4,62.2,0.092427,429.196
2019-4-22 4:00,5,39,30,22,-1,0.5,25.2,95,1005.3,0.8,81.3,0.128056,430.162
2019-4-22 5:00,5,38,40,20,0,0.5,25.4,94,1005.5,0.8,298.1,0.159443,429.145
2019-4-22 6:00,4,31,28,21,4,0.5,25.6,94,1005.9,0.7,47,0.0960511,427.562
2019-4-22 7:00,3,24,28,17,13,0.6,26.3,91,1006.4,1,287.7,0.0411316,428.417
2019-4-22 8:00,4,22,23,13,23,0.7,27.6,82,1006.8,1.7,249.1,0,429.929
2019-4-22 9:00,10,22,24,17,35,0.6,28.3,77,1007.4,2.9,225.7,0,429.929
2019-4-22 10:00,13,24,35,14,48,0.6,29.1,73,1007.7,2,231.1,0,436.756
2019-4-22 11:00,8,21,40,20,57,0.6,29.2,72,1007.8,2.8,234.8,0,439.149
2019-4-22 12:00,4,15,29,11,84,0.5,29.9,68,1007.3,2.5,241.5,0,442.704
2019-4-22 13:00,3,13,40,20,86,0.5,30.1,68,1006.4,2.1,243.7,0,449.165
2019-4-22 14:00,3,17,29,15,69,0.5,30,68,1005.5,2.1,231.6,0,448.459
2019-4-22 15:00,3,18,29,17,67,0.5,30.2,68,1005.3,1.8,239.5,0.022933,455.861
2019-4-22 16:00,1,23,30,14,56,0.5,30.2,67,1005.5,1.8,249.4,0,449.959
2019-4-22 17:00,1,23,31,12,47,0.5,29.6,69,1006,1.4,72.2,0,453.835
2019-4-22 18:00,2,40,39,17,40,0.6,27.2,76,1006.8,2.2,66.5,0.0555314,456.621
2019-4-22 19:00,2,66,37,11,16,0.7,25.9,82,1007.2,1.2,44.3,0.157206,463.133
2019-4-22 20:00,2,52,44,11,5,0.6,26.9,83,1007.5,1,80.9,0.0967288,455.374
2019-4-22 21:00,0,38,44,17,3,0.5,26.9,85,1008.2,0.7,45.7,0.0566227,453.446
2019-4-22 22:00,1,41,32,16,0,0.6,26.5,87,1008.8,0.5,34.3,0.0415138,451.168
2019-4-22 23:00,0,28,23,14,9,0.5,26.6,83,1008.8,1,272.6,0.125348,448.333
2019-4-23 0:00,0,30,17,12,4,0.5,26.5,84,1008.4,0.8,310.9,0.376123,448.693
2019-4-23 1:00,1,39,26,9,-1,0.5,25.9,87,1007.8,0.5,33.5,0.295057,445.572
2019-4-23 2:00,0,33,40,17,-1,0.5,25.6,90,1007.7,0.4,61.3,0.297007,442.055
2019-4-23 3:00,0,32,35,17,-1,0.5,25.2,92,1007.4,0.5,69.4,0.423002,440.072
2019-4-23 4:00,3,35,35,16,-1,0.5,25,94,1007.8,0.7,32.4,0.502272,435.337
2019-4-23 5:00,5,34,39,22,-1,0.6,24.9,95,1008.4,0.7,28.2,0.427335,433.479
2019-4-23 6:00,1,33,35,25,0,0.6,24.8,95,1008.7,0.8,37.2,0.47832,427.997
2019-4-23 7:00,3,40,55,15,1,0.8,25.4,94,1008.9,0.7,64.1,0.331834,427.97
2019-4-23 8:00,6,36,36,37,10,0.8,27.7,81,1009.2,1.2,76.4,0.34,429.171
2019-4-23 9:00,6,27,35,28,31,0.6,29,72,1009.5,1.6,220.4,0.34,462.98
2019-4-23 10:00,8,24,36,18,48,0.5,30.4,66,1009.7,1.6,237.3,0.34,462.98
2019-4-23 11:00,9,17,34,17,67,0.4,31.1,62,1009.4,2,236.1,0.34,467.21
2019-4-23 12:00,7,16,31,14,76,0.4,31.6,60,1008.5,2,246.4,0.197175,443.828
2019-4-23 13:00,—,14,28,10,79,0.4,31.9,59,1007.6,1.6,239,0.202433,452.892
2019-4-23 14:00,5,14,26,13,—,0.4,32.2,59,1007,2,235.6,0.184343,457.53
2019-4-23 15:00,5,14,—,12,73,0.4,32.4,58,1006.5,1.9,239.3,0.259232,457.814
2019-4-23 16:00,4,—,—,10,64,0.6,31.9,60,1006.1,2.1,226.5,0.34,458.077
2019-4-23 17:00,4,20,—,16,51,—,31.4,62,1006.1,2,233,0.17834,459.343
2019-4-23 18:00,5,24,44,14,34,0.6,30.5,65,1006.6,1.3,278,1,462.166
2019-4-23 19:00,4,26,36,16,26,0.6,29.4,70,1006.9,1.6,256.6,0.161081,463.491
2019-4-23 20:00,11,30,37,15,16,0.6,28.7,74,1007.3,2,239,0.154091,459.455
2019-4-23 21:00,14,29,37,15,15,0.6,28.2,77,1007.9,2,247.2,0.170139,453.93
2019-4-23 22:00,13,27,49,16,15,0.6,27.7,80,1008.4,1.6,239.6,0.134942,446.752
2019-4-23 23:00,12,26,33,22,15,0.6,27.3,81,1008.3,1.2,270.4,0.0721081,444.726
2019-4-24 0:00,8,24,36,20,15,0.6,26.9,83,1008,0.9,275.5,0.108066,432.727
2019-4-24 1:00,6,24,36,15,15,0.6,26.9,82,1007.5,1.3,235.1,0.416315,440.038
2019-4-24 2:00,4,27,29,14,11,0.6,26.8,83,1007,1.6,236.7,0.531227,432.946
2019-4-24 3:00,6,24,29,15,12,0.5,26.4,85,1006.3,0.9,353.3,0.734814,431.934
2019-4-24 4:00,4,22,24,13,14,0.5,26.3,86,1006.3,1.2,285.1,0.253137,432.766
2019-4-24 5:00,6,22,28,14,15,0.5,26.4,84,1006.8,1.6,237.5,0.857578,432.14
2019-4-24 6:00,6,24,25,14,13,0.6,26.4,84,1007.5,1.3,233.6,0.208513,429.121
2019-4-24 7:00,4,22,22,19,19,0.6,27,81,1008.4,1.6,224.7,0.195896,429.914
2019-4-24 8:00,11,24,26,18,21,0.6,28,76,1009.4,1.5,232.7,0.220244,426.234
2019-4-24 9:00,4,17,28,14,36,0.5,28.8,71,1009.9,1.3,249.3,0.159198,421.511
2019-4-24 10:00,3,14,26,13,53,0.5,30.2,64,1009.7,1.5,249.3,0.166607,422.414
2019-4-24 11:00,7,21,42,13,81,0.6,31,61,1009.2,1.1,236.9,0.166607,422.414
2019-4-24 12:00,4,17,49,19,111,0.5,31.2,60,1008.4,1.4,208.9,0.189292,427.471
2019-4-24 13:00,3,12,37,22,103,0.5,31.9,57,1007.6,1.4,264.1,0.0540466,436.329
2019-4-24 14:00,2,11,30,17,94,0.4,32.2,56,1006.7,1.7,240.8,0.0396393,437.492
2019-4-24 15:00,2,13,32,14,91,0.4,32.4,55,1006.1,1.5,218.9,0.04586,448.973
2019-4-24 16:00,—,—,—,—,—,—,—,—,—,—,—,1,475.556
2019-4-24 17:00,—,—,—,—,—,—,—,—,—,—,—,0.565153,453.009
2019-4-24 18:00,—,—,—,—,—,—,—,—,—,—,—,0.381844,452.667
2019-4-24 19:00,1,17,11,17,40,0.7,29.2,69,1005.9,2.2,263.6,0.318606,445.306
2019-4-24 20:00,3,18,11,20,33,0.7,28.6,72,1006.4,1.8,251.4,0.332593,451.333
2019-4-24 21:00,6,19,23,17,30,0.7,28.1,73,1006.7,2.3,253.9,0.179645,468.987
2019-4-24 22:00,9,22,40,22,26,0.7,27.7,76,1007.1,2.2,239.6,0.342289,442.851
2019-4-24 23:00,12,23,30,18,25,0.8,27.4,76,1007.1,2.1,233.5,0.208739,440.997
2019-4-25 0:00,12,21,39,19,29,0.9,27.2,79,1006.7,1.8,231.7,0.481542,448.3
2019-4-25 1:00,8,18,29,15,30,0.7,27.1,80,1006.2,1.8,237.9,0.529936,445.97
2019-4-25 2:00,4,17,24,17,28,0.7,27,81,1006.3,1,243.6,0.583268,446.5
2019-4-25 3:00,6,25,30,17,16,0.7,26.5,84,1006.4,0.6,275.4,0.57952,443.114
2019-4-25 4:00,5,28,32,21,11,0.6,26.6,84,1006.4,0.9,267.6,0.576383,444.481
2019-4-25 5:00,16,36,27,17,10,0.6,26.9,79,1006.3,1.4,262.7,0.627141,444.169
2019-4-25 6:00,9,26,26,17,20,0.7,27,78,1006.4,1.8,243.8,0.711724,442.049
2019-4-25 7:00,14,28,28,21,22,0.7,27.8,74,1007.2,2.1,235.2,0.745788,441.688
2019-4-25 8:00,10,25,32,27,32,0.8,28.9,68,1008,2,223.7,0.504345,434.306
2019-4-25 9:00,5,17,33,19,50,0.7,29.7,64,1008.5,2.4,234.3,0.504345,434.306
2019-4-25 10:00,2,16,44,17,57,0.7,30.2,63,1009,2.3,238.2,0.260934,431.819
2019-4-25 11:00,0,14,53,20,66,0.7,30.5,63,1008.9,1.7,236.4,0.0458419,434.432
2019-4-25 12:00,0,9,28,19,83,0.7,31.5,61,1008.3,2.3,240.6,0.0378304,437.293
2019-4-25 13:00,-1,8,40,17,85,0.6,31.8,60,1007.7,2.1,250.2,0.0438088,442.213
2019-4-25 14:00,0,9,26,17,86,0.6,32.7,57,1006.9,1.7,241,0.0480537,447.389
2019-4-25 15:00,—,11,34,16,88,0.6,33,55,1006.2,1.6,266.8,0.0534051,455.967
2019-4-25 16:00,4,14,38,17,85,0.7,32.9,54,1005.9,1.3,244.3,0.0416944,488.6
2019-4-25 17:00,7,20,40,20,76,0.7,32.5,56,1005.6,1.8,233,0.176173,461.656
2019-4-25 18:00,9,27,48,20,60,0.7,31.5,61,1005.7,1.6,259.5,0.327518,462.095
2019-4-25 19:00,8,30,43,24,44,0.8,30.6,66,1006.2,1.2,245.4,0.083474,459.344
2019-4-25 20:00,6,36,49,17,25,0.8,29.8,69,1006.8,1,301.2,0.0445338,453.159
2019-4-25 21:00,8,43,44,24,13,0.8,29.2,71,1007.4,0.8,30.6,0.0335897,447.26
2019-4-25 22:00,10,41,47,26,16,0.8,28.8,72,1007.6,0.9,293.7,0.0358842,443.861
2019-4-25 23:00,9,27,40,23,29,0.7,28.7,72,1007.4,1.2,251.5,0.068891,438.837
2019-4-26 0:00,8,31,45,21,21,0.8,28.4,74,1007.3,0.7,241,0.101547,435.093
2019-4-26 1:00,10,39,41,21,11,0.7,27.8,77,1007,0.5,307.4,0.110504,432.987
2019-4-26 2:00,8,36,41,27,12,0.7,27.3,81,1006.7,0.6,1.8,0.0572668,433.362
2019-4-26 3:00,7,33,40,27,15,0.7,27.4,82,1006.3,0.8,250.2,0.117987,434.053
2019-4-26 4:00,8,35,39,22,14,0.7,27.2,83,1006.6,0.6,319.4,1,452.091
2019-4-26 5:00,7,33,36,24,14,0.7,27.1,84,1007.1,0.7,319.6,0.376345,432.277
2019-4-26 6:00,13,23,34,28,27,0.7,27.1,85,1007.9,1,101,0.239531,431.139
2019-4-26 7:00,17,21,34,20,32,0.7,27.5,82,1008.7,1.3,114.9,0.633308,430.622
2019-4-26 8:00,6,27,50,22,30,0.8,28.3,78,1009.1,1.3,121.5,0.550191,432.309
2019-4-26 9:00,11,45,67,26,14,0.9,28.4,78,1009.7,1.3,68.3,0.839521,437.589
2019-4-26 10:00,23,30,47,33,53,0.8,29.9,70,1010,1.1,251.3,0.839521,437.589
2019-4-26 11:00,8,19,44,21,76,0.7,30.4,65,1009.3,2,238,0.294142,440.388
2019-4-26 12:00,7,19,42,19,90,0.7,30.9,65,1008.8,1.2,298.8,0.34,469.438
2019-4-26 13:00,3,30,53,23,65,0.7,27.2,73,1008.6,2.8,41.9,0.853656,471.297
2019-4-26 14:00,3,33,85,23,65,0.7,25.4,83,1007.7,2,56.8,0.152639,451.987
2019-4-26 15:00,4,32,14,13,81,0.7,27.8,75,1006.7,1.9,66.1,0.0892423,453.073
2019-4-26 16:00,5,41,42,11,64,0.7,29.7,73,1006.3,1.3,73.4,0.120316,455.912
2019-4-26 17:00,6,44,59,20,45,0.8,30.4,71,1006.3,1.1,51.3,0,453.188
2019-4-26 18:00,7,38,48,25,37,0.7,29.9,72,1007,1.2,93,0,452.489
2019-4-26 19:00,7,38,55,24,25,0.7,28.8,77,1007.4,1.6,110.9,0.0155132,454.078
2019-4-26 20:00,6,37,47,23,21,0.7,28.3,80,1008.3,1.8,101.7,0.0177565,447.542
2019-4-26 21:00,6,35,34,21,20,0.6,27.9,81,1009.1,1.3,91.3,0.0267814,446.029
2019-4-26 22:00,6,29,35,16,27,0.6,27.8,81,1009.6,1.2,97.1,0.0307783,438.14
2019-4-26 23:00,5,23,29,20,32,0.6,27.6,82,1010.3,0.8,89.7,0.0290001,429.722
2019-4-27 0:00,5,38,12,13,16,0.6,27.1,84,1010.8,1.6,55,0.020983,440.154
